NUM,ITEM #,CATEGORY,DESCRIPTION,BRAND,PACK/SIZE
2075,254009,MISC. JUICE,SPLASH COOLER,CAPRI SUN,4/10 PCK
2077,254011,MISC. JUICE,LEMONADE DRINK,CAPRI SUN,4/10 PCK
2079,254013,MISC. JUICE,BERRY JCE SPORT PAK,CAPRI SUN,4/10 PCK
2081,363006,MISC. JUICE,OLIVE JUICE,TABLE JOY,12/12OZ
2083,511250,MISC. JUICE,CHERRY SLUSHIE MIX 100%,COOL TRPCS,6/1/2 GAL
2085,250835,MISC. JUICES,POMEGRANATE JUICE,PACKER,8/64Z
2087,252402,MISC. JUICES,FRUIT PUNCH,TROPICANA,24/10 OZ
2089,252418,MISC. JUICES,JUICE VERY BERRY 100%,APPLE&EVE,40/6.75OZ
2091,881353,MISC. JUICES,GUAVA NECTAR PLASTIC,KERNS,8/64Z
2093,120609,MISC. MIXES,PIE CRUST MIX,GOLD MEDAL,6/5LB
2095,160046,MISC. MIXES,SLOPPY JOE SEASONING MIX,FOOTHILL,6/15OZ
2097,441510,MISC. MIXES,TRAIL MIX FRUIT & NUT,PLANTERS,72/2OZ
2099,121503,MISC. MUFFIN MIXES,MIX BISCUIT BUTTERMILK,GEN MILLS,6/5 LB
2101,123016,MISC. MUFFIN MIXES,MIX MUFFIN VARIETY LF,GEN MILLS,6/4.5 LB
2103,340613,MISC. NUTS,MACADAMIA NUTS,BAZZINI,6/4 LB
2105,160172,MISC. OILS & SHORTENINGS,PUMPKIN SEED OIL,PKR,6/250 ML
2107,350410,MISC. OILS & SHORTENINGS,VEGALENE COATING AEROSOL,VEGALENE,6/14OZ
2109,350558,MISC. OILS & SHORTENINGS,PHASE ZTF LIQUID BUTTER,VENTURA,
2111,350614,MISC. OILS & SHORTENINGS,TRUFFLE OIL WHITE,ROLAND,6/8oz
2113,370175,MISC. PASTA PRODUCTS,PENNE 4/5 LB,DECECCO,4/5 LB
2115,372072,MISC. PASTA PRODUCTS,MEDIUM SHELLS,ZEREGA,1/20LB
2117,190964,MISC. PORTION CONTROL DRESSING,DRESSING PARMESAN PC,KENS,60/1.5OZ
2119,194809,MISC. SALADS,CHKN SALAD W/ CRACKER KIT,BUMBLE BEE,12/3.25Z
2121,160666,MISC. SAUCES,SAUCE ASIAN PLUM,MINORS,4/.5GAL
2123,191207,MISC. SAUCES,WHITE CLAM SAUCE,PROGRESSO,12/10.5 OZ
2125,416307,MISC. SAUCES,ALFREDO SAUCE RETAIL,CLASSICO,12/16oz
2127,450403,MISC. SAUCES,CREOLE SAUCE RTU,KNORRS,4/.5 GAL
2129,460419,MISC. SAUCES,MIRIN SEASONING,KIKKOMAN,12/10 OZ
2131,460611,MISC. SAUCES,SESAME GARLIC SAUCE,ASIAN MENU,2/1GAL
2133,463001,MISC. SAUCES,HOISIN SAUCE,PACKER,6/5 LB
2135,995090,MISC. SAUCES,JAMAICAN JERK SAUCE,KNORRS,4/1/2 GAL
2137,104113,MISC. SNACKS,RITZ WW,NABISCO,12/15OZ
2139,134430,MISC. SNACKS,SKITTLES,SKITTLES,36/.69OZ
2141,151122,MISC. SNACKS,CHEERIO BAR FRUITY WG ZTF,GEN MILLS,96/1.3Z
2143,172532,MISC. SNACKS,SNACKS CHEX MIX,GEN MILLS,10/31OZ
2145,260412,MISC. SNACKS,CRACKERS CHEEZ-IT RF,KEEBLERS,60/1.5OZ
2147,400133,MISC. SNACKS,SNACKS ABC CINNAMON,KIDSMART,200/1OZ
2149,440602,MISC. SNACKS,POTATO STIX,FRENCH'S,6/16oz
2151,441040,MISC. SNACKS,POTATO CHIP REG LAYS,FRITO-LAY,6/16oz
2153,441310,MISC. SNACKS,CHEETOS BAKED,FRITO LAY,104/.875
2155,441406,MISC. SNACKS,CRACKER JACKS,CRACKER,9/7 OZ
2157,443623,MISC. SNACKS,SUN CHIPS CHDR CHS FLAV,FRITO-LAY,104/1OZ
2159,448003,MISC. SNACKS,RICE KRISPY TREAT CHOC.,KELLOGGS,4/20CT
2161,931005,MISC. SNACKS,PITA PUFFS CINNAMON,HANDI,100/.6 OZ
2163,522001,MISC. TOMATO PRODUCTS,SUN DRIED TOMATOES,PACKER,4/5 LB
2165,391214,MISC. VEGETABLES,CAPERS IN SALT,PANTELLER,10/1KG
2167,10148,MISC.WATER,SPRING WATER BABY,BEECHNUT,3/1GAL
2169,253286,MISC.WATER,PROPEL LEMON,PROPEL,24/500ML
2171,253288,MISC.WATER,PROPEL GRAPE,PROPEL,24/500ML
2173,581216,MISC.WATER,SPARKLING WATER,PERRIER,24/6.5 OZ
2175,582412,MISC.WATER,SARATOGA SPARKLING BLUE,SARATOGA,24/12 OZ
2177,582417,MISC.WATER,WATER FRUIT 2 O KIWI/WAT,FRUIT,24/16Z
2179,582419,MISC.WATER,WATER SARATOGA BLUE SPARK,SARATOGA,12/28 OZ
2181,582429,MISC.WATER,SARATOGA STILL WATER,SARATOGA,12/28OZ
2183,582453,MISC.WATER,VITAMIN WATER LEMONADE,GLACEAU,24/20OZ
2185,582455,MISC.WATER,VITAMIN WATER FRUIT PUNCH,GLACEAU,24/20OZ
2187,582482,MISC.WATER,WATER FRUIT 2 O LEMON,FRUIT 2 O,24/16Z
2189,83078,MIXED FRUIT (CANNED),PEACH/PEAR DICED IN LS,DEKO,80/4 OZ
2191,340405,MIXED NUTS,MIXED NUTS UNSALTED,BAZZINI,6/4 LB
2193,340615,MIXED NUTS,MIXED NUT SALT NO PEANUT,BAZZINI,6/4 LB
2195,750270,MUSHROOMS,"MUSHROOMS, DRY PORCINI",PACKER,1/1 LB
2197,160422,MUSTARD (GALLONS),DIJON MUSTARD SMOOTH,MAILLE,4/1GAL
2199,320403,MUSTARD (GALLONS),DELI MUSTARD,ADMIRATION,4/1 GAL
2201,320405,MUSTARD (GALLONS),YELLOW MUSTARD,ADMIRATION,4/1 GAL
2203,320413,MUSTARD (GALLONS),MUSTARD JUG,HEINZ,6/104OZ
2205,320422,MUSTARD (GALLONS),MUSTARD BRAN,BAKERS,4/1 GAL
2207,324801,MUSTARD (GALLONS),GREY POUPON CLSC DIJON,NABISCO,6/48oz
2209,322402,MUSTARD (RETAIL),MUSTARD SQUEEZE BOTTLE,GULDEN'S,24/12 OZ
2211,322404,MUSTARD (RETAIL),MUSTARD (YELLOW) SQZ BTL,PARADE,24/9oz
2213,160071,MUSTARD PC,CHINESE MUSTARD P/C,PACKER,1/500 IND
2215,301100,MUSTARD PC,PC MUSTARD,HEINZ,1/200
2217,325001,MUSTARD PC,PC SPICY BROWN MUSTARD,GULDEN'S,1/500 CT
2219,651051,MUSTARD PC,MUSTARD PACKETS PC,STICKNEYPO,500/1/6Z
2221,440604,NACHO CHIPS / DORITOS,TORTILLA CHIPS CRISPY RND,FRITO LAY,8/1LB
2223,441306,NACHO CHIPS / DORITOS,DORITOS NACHO CHEESIER,FRITO-LAY,104/1oz
2225,441316,NACHO CHIPS / DORITOS,TORTILLA CHIPS,WISE,6/1LB
2227,441323,NACHO CHIPS / DORITOS,SSS DORITOS COOLER RANCH,FRITO-LAY,104/1Z
2229,443617,NACHO CHIPS / DORITOS,LSS DORITO NACHO CHEESE,FRITO-LAY,64/1.75oz
2231,252421,NECTARS,COFFEE NECTAR THICKEN,HORMEL,75/12GRM
2233,254617,NECTARS,PEAR NECTAR,KERNS,8/46 OZ
2235,254811,NECTARS,PEACH NECTAR,LIBBY,48/5.5OZ
2237,254815,NECTARS,MANGO NECTAR-PLASTIC,KERNS,8/46oz
2239,21200,NON DAIRY & FLAVORED CREAMERS,PC COFFEE CREAMER DRY,DIAMOND,1/1000 CT
2241,511210,NON DAIRY & FLAVORED CREAMERS,COFFEE CREAMER (powder),D.C./B.V.,22/12 OZ
2243,350403,OLIVE OIL,PAM OLIVE OIL SPRAY,PAM,12/5 OZ
2245,350409,OLIVE OIL,OLIVE OIL POMACE,CASTELLA,4/1 GAL
2247,350416,OLIVE OIL,OLIVE OIL,CENTO,12/8.45Z
2249,350607,OLIVE OIL,EXTRA VIRGIN OLIVE OIL,LAKONIA,4/3 LTR
2251,350624,OLIVE OIL,EXTRA VIRGIN OLIVE OIL,BERTOLLI,6/25Z
2253,350676,OLIVE OIL,OLIVE OIL TIN,BERIO,4/101 OZ
2255,37465,ORANGE JUICE,ORANGE / TANGERINE JUICE,JUICY JC,32/6.75OZ
2257,40460,ORANGE JUICE,JUICE ORANGE 50% 5+1,JUICE TYME,3/1 GAL
2259,129453,ORANGE JUICE,TANG ORANGE 8QT,TANG,12/20Z
2261,251001,ORANGE JUICE,ORANGE JUICE (PET),TROPICANA,24/10 OZ
2263,253201,ORANGE JUICE,ORANGE JUICE (PET BOTTLE),TROPICANA,12/32 OZ
2265,254607,ORANGE JUICE,ORANGE JUICE,SUNPAC,12/46 OZ
2267,254652,ORANGE JUICE,JUICE ORANGE 100% BOX,PACKER,12/46 OZ
2269,241212,ORANGE MARMALADE,ORANGE MARM SIMPLY FRT,SMUCKERS,12/10.25oz
2271,251228,ORANGE SODA,DIET ** ORANGE SODA,SUNKIST,24/12 OZ
2273,12206,PANCAKE / WAFFLE MIXES,ORIGINAL PANCAKE MIX,A JEMIMA,6/5 LB
2275,12981,PANCAKE / WAFFLE MIXES,BUTTERMILK PANCAKE MIX,KRUSTEAZ,
2277,120605,PANCAKE / WAFFLE MIXES,POTATO PANCAKE MIX,GOLDEN DIP,6/5 LB
2279,120611,PANCAKE / WAFFLE MIXES,COMPLETE PANCAKE MIX,A JEMIMA,6/5LB
2281,120613,PANCAKE / WAFFLE MIXES,BUCKWHEAT PANCAKE MIX,R&H,6/5 LB
2283,120617,PANCAKE / WAFFLE MIXES,BUTTERMILK PANCAKE MIX,GOLDEN DIP,6/5LB
2285,120638,PANCAKE / WAFFLE MIXES,SWEET POTATO PANCAKE MIX,BRUCES,12/2.5LB
2287,121201,PANCAKE / WAFFLE MIXES,PANCAKE & WAFFLE MIX,A JEMIMA,12/1 LB
2289,123010,PANCAKE / WAFFLE MIXES,BELGIAN WAFFLE MIX,GOLD MEDAL,8/3LB
2291,125006,PANCAKE / WAFFLE MIXES,PANCAKE BASE,GOLDEN DIP,1/50LB
2293,381007,PANCAKE SYRUPS,SYRUP PANCAKE SF,SMUCKERS,12/14.5Z
2295,416011,PANCAKE SYRUPS,LITE PANCAKE SYRUP RETAIL,PACKER,12/24 OZ
2297,500102,PANCAKE SYRUPS,PANCAKE SYRUP,PACKER,4/1 GAL
2299,500404,PANCAKE SYRUPS,GRANDMA'S MOLASSES,B&G,4/1 GAL
2301,500415,PANCAKE SYRUPS,SYRUP PANCAKE,PARADE,12/12 OZ
2303,501202,PANCAKE SYRUPS,PANCAKE SYRUP,A JEMIMA,12/12 OZ
2305,501218,PANCAKE SYRUPS,LOG CABIN SYRUP,LOG CABIN,4/1GAL
2307,506407,PANCAKE SYRUPS,PURE MAPLE SYRUP GR B,MAPLE GROV,4/1GAL
2309,174963,PARADE BOX CEREAL,CEREAL TOASTED OATS,PARADE,12/15Z
2311,242436,PC CONDIMENTS MISC,SAUCE CRANBERRY,S&P,200/1/2 OZ
2313,382004,PC CONDIMENTS MISC,COCKTAIL SAUCE PC (CUPS),KRAFT,200/.75OZ
2315,382007,PC CONDIMENTS MISC,PC TARTAR SAUCE CUPS,KRAFT,200/.75 OZ
2317,412009,PC CONDIMENTS MISC,HOT SAUCE INDIVIDUAL PC,S&P,200/CT
2319,651600,PC CONDIMENTS MISC,PC TARTAR SAUCE,PACKER,1/200 CT
2321,220601,PEACHES (CANNED),PEACH HALVES L/S 35/40 CT,PACKER,6/#10
2323,220618,PEACHES (CANNED),SLICED PEACHES LT/SYRUP,PRIM,6/#10 CAN
2325,220630,PEACHES (CANNED),DICED PEACHES L/S,PACKER,6/#10
2327,220644,PEACHES (CANNED),PEACH HALVES L/S 35-40CT,DELMONTE,6/10#
2329,221205,PEACHES (CANNED),LITE SLICED PEACHES,DELMONTE,24/15Z
2331,222402,PEACHES (CANNED),PEACH HALVES,DELMONTE,12/29 OZ
2333,350163,PEACHES (CANNED),SLICED PEACH SYRUP CAN,ROSE/PARAD,24/15 OZ
2335,351411,PEACHES (CANNED),PEACHES DICED IN JUICE *K,PACKER,6/#10
2337,351419,PEACHES (CANNED),PEACHES SLICED IN JUICE,PACKER,6/#10
2339,132421,PEANUT BUTTER,PEANUT BUTTER,PACKER,6/5LB
2341,241214,PEANUT BUTTER,NATURAL PEANUT BUTTER N/S,SMUCKERS,12/18oz
2343,246403,PEANUT BUTTER,PEANUT BUTTER LOW FAT,SKIPPY,12/16.3 OZ
2345,246405,PEANUT BUTTER,PEANUT BUTTER CHUNKY,SKIPPY,6/4LB
2347,370802,PEANUT BUTTER,PEANUT BUTTER (G&S),PACKER,6/5LB
2349,790700,PEANUT BUTTER,"PEANUT BUTTER, SMOOTH",PACKER,12/18 OZ
2351,350617,PEANUT OIL,PEANUT OIL,PACKER,1/35 LB
2353,340604,PEANUTS,PEANUTS JUMBO UNSALTED,BAZZINI,6/4 LB
2355,341214,PEANUTS,PEANUTS DRY ROASTED,PLANTERS,6/52 OZ
2357,220602,PEARS (CANNED),PEAR HALVES L/S,PACKER,
2359,220623,PEARS (CANNED),DICED PEARS L/S,PRIM,6/#10
2361,221203,PEARS (CANNED),SLICED PEARS,DELMONTE,12/8.5oz
2363,350164,PEARS (CANNED),PEARS DICED/SLICED,PACKER,24/15 OZ
2365,350170,PEARS (CANNED),LITE PEAR HALVES RETAIL,DELMONTE,24/15 OZ
2367,351412,PEARS (CANNED),PEARS DICED IN JUICE *K,PACKER,6/#10
2369,351417,PEARS (CANNED),PEARS SLICED IN JUICE *K,PACKER,6/#10
2371,340606,PECANS,PECAN HALVES,BAZZINI,6/3 LB
2373,480506,PEPPER,CAFE GROUND BLACK PEPPER,EMERALD,4/5 LB
2375,481226,PEPPER,BLACK PEPPER FINE GROUND 1#,EMERALD,12/1 LB
2377,481238,PEPPER,COARSE(BUTCHER)BLACK PEPPER 1#,EMERALD,12/1 LB
2379,481333,PEPPER,WHOLE BLACK PEPPER,EMERALD,4/5LB
2381,481411,PEPPER,BLACK PEPPER BUTCHER GRND,EMERALD,4/5LB
2383,485007,PEPPER,BULK BLACK PEPPER,EMERALD,1/50 LB
2385,485075,PEPPER,WHITE PEPPER GROUND,MCCORMICK,6/18 OZ
2387,390404,PEPPERS (SWEET / HOT / SLICED / ETC.),SLICED HOT CHERRY PEPPERS,B&G,4/1 GAL
2389,390406,PEPPERS (SWEET / HOT / SLICED / ETC.),PEPPERONCINI,PACKER,4/1 GAL
2391,390413,PEPPERS (SWEET / HOT / SLICED / ETC.),HOT SL. BAN. PEPPER RINGS,SAN DEL,4/1 GAL
2393,390421,PEPPERS (SWEET / HOT / SLICED / ETC.),PEPPERS HOT SLICED CHERRY,COSMOS,4/1GAL
2395,390423,PEPPERS (SWEET / HOT / SLICED / ETC.),PEPPERS SWEET RED HULLS,COSMOS,4/1GAL
2397,390602,PEPPERS (SWEET / HOT / SLICED / ETC.),JALAPENO PEPPERS SLICED,PACKER,6/#10
2399,390607,PEPPERS (SWEET / HOT / SLICED / ETC.),RED ROASTED PEPPERS,PACKER,6/3 KILO
2401,390612,PEPPERS (SWEET / HOT / SLICED / ETC.),DICED RED PEPPERS,PACKER,6/#10 CAN
2403,390618,PEPPERS (SWEET / HOT / SLICED / ETC.),PEPPER RED & GRN SWT SLCD,COSMOS,4/1GAL
2405,391207,PEPPERS (SWEET / HOT / SLICED / ETC.),ROASTED RED PEPPERS,MANCINI,12/#5 CAN
2407,392401,PEPPERS (SWEET / HOT / SLICED / ETC.),CHIPOLTE PEPPERS,ROLAND,24/7oz
2409,532436,PEPPERS (SWEET / HOT / SLICED / ETC.),PIMIENTOS,PACKER,6/#10
2411,251222,PEPSI,DIET PEPSI CND,PEPSI,24/12 OZ
2413,251226,PEPSI,COLA CAFFEINE FREE SODA,PEPSI,24/12 OZ
2415,50090,PICKLE PRODUCTS,KOSHER DILL PICKLE SPRS,B&G,12/16 OZ
2417,390401,PICKLE PRODUCTS,KOSHER DILL PICKLES,B&G,4/1 GAL
2419,390452,PICKLE PRODUCTS,SWEET GHERKINS,B&G,4/1 GAL
2421,401265,PICKLE PRODUCTS,"JALAPENO PEPPERS, SLICED",CENTO,12/12 OZ
2423,12973,PIE CRUST (DRY),SHELLS TART 3,KEEBLER,72/3
2425,730421,PIE CRUST (DRY),PIE APPLE 10,ROCK 794,1/10
2427,730423,PIE CRUST (DRY),PIE BLUEBERRY 10,ROCK 795,1/10
2429,400405,PIE FILLING - CANS,APRICOT GLAZE,GLOBE,6/#10
2431,400601,PIE FILLING - CANS,APPLE PIE FILLING,GLOBE,6/#10
2433,400604,PIE FILLING - CANS,STRAWBERRY PIE FILLING,GLOBE,6/#10 CAN
2435,400607,PIE FILLING - CANS,STRAWBERRY GLAZE FILLING,GLOBE,6/#10
2437,400616,PIE FILLING - CANS,PINEAPPLE PIE FILLING,GLOBE,6/#10 CAN
2439,401201,PIE FILLING - CANS,RETAIL CHERRY PIE FILLING,COMSTOCK,12/15 OZ
2441,404007,PIE FILLING - CANS,APPLE COMPOTE FILLING,GLOBE,
2443,404011,PIE FILLING - CANS,SLICED PEACH PIE FILLING,GLOBE,6/#10 CAN
2445,404013,PIE FILLING - CANS,PEACH COMPOTE,GLOBE,6/#10
2447,402001,PIE FILLINGS - PAILS,TUB APPLE TURNOVER FILLNG,SUGAR MILL,1/36 TUB
2449,10048,PINEAPPLE JUICE,PINEAPPLE BASE 4+1,COUNTRY PU,12/1LT
2451,250610,PINEAPPLE JUICE,PINEAPPLE JUICE (SMALL),DOLE,48/6oz
2453,254611,PINEAPPLE JUICE,PINEAPPLE JUICE,PKR,12/46 OZ
2455,256005,PINEAPPLE JUICE,PINEAPPLE JUICE,DOLE,12/5#
2457,754313,PINEAPPLES,DELMONTE GOLD PINEAPPLES,DELMONTE,6/1 CT
2459,220607,PINEAPPLES (CANNED),SLICED PINEAPPLE CND,RUBY,6/#10
2461,220640,PINEAPPLES (CANNED),PINEAPPLE TIDBITS N JCE,PACKER,6/#10
2463,222409,PINEAPPLES (CANNED),PINEAPPLE CHUNKS/TIDBITS,PREM/RUBY,24/20 OZ
2465,351420,PINEAPPLES (CANNED),PINEAPPLE CHUNKS IN JC *K,PACKER,6/#10
2467,351422,PINEAPPLES (CANNED),PINEAPPLE CRUSHD IN JC *K,PACKER,6/#10
2469,440643,PINEAPPLES (CANNED),PINEAPPLE CHUNKS JUICE,DELMONTE,6/#10
2471,340501,PISTACHIOS,PISTACHIOS RAW SHELLED,BAZZINI,6/4 LB
2473,15496,POPCORN,MICRO POPCORN BUTTER,POP SECRET,12/10oz
2475,410026,POPCORN,MICRO POPCORN BUTTERED,PARADE,12/10 OZ
2477,441008,POPCORN,POPCORN (KOSHER),GLDNFLF,48/.75 OZ
2479,441304,POPCORN,SSS SMRTFD CHED POPCORN,FRITO-LAY,104/.625oz
2481,485008,POPCORN,POPCORN KERNEL KIT,C/CHOICE,28/6oz
2483,890572,POPCORN,MICRO POP CORN,ACT-II,12/3OZ
2485,110218,POPTARTS,POP TART CHOCO CHIP,KELLOGGS,72/2 CNT
2487,110220,POPTARTS,POP TART BROWN SUGAR CIN,KELLOGGS,72/2CT
2489,110223,POPTARTS,POP TART BLUEBERRY,KELLOGGS,12/14Z
2491,110227,POPTARTS,POP TART STRAWBERRY FROSTED,KELLOGS,12/14.7OZ
2493,174895,POST BOX CEREAL,CEREAL HONEY BUNCH OF OAT,POST,12/13Z
2495,261003,POST BOX CEREAL,CEREAL ALPHA BITS,POST,12/11.5 OZ
2497,261214,POST BOX CEREAL,CEREAL HONEY BUNCH OATS,POST,12/14Z
2499,440601,POTATO CHIPS,BULK RUFFLES POTATO CHIPS,FRITO-LAY,8/16OZ
2501,440810,POTATO CHIPS,TERRA CHIPS,PACKER,8/10oz
2503,441043,POTATO CHIPS,PRINGLES ORIG,PRINGLES,12/1.41Z
2505,441300,POTATO CHIPS,SSS LAYS BBQ CHIPS,FRITO-LAY,104/1oz
2507,441502,POTATO CHIPS,POTATO CHIP JALAPENO,MISS VICKY,60/1.38OZ
2509,443000,POTATO CHIPS,POTATO CHIPS ORIGINAL,POPCHIPS,1/24 CT
2511,443002,POTATO CHIPS,POTATO CHIPS BBQ,POPCHIPS,1/24 CT
2513,443605,POTATO CHIPS,LSS LAYS POTATO CHIPS,FRITO-LAY,64/1.5oz
2515,443615,POTATO CHIPS,LSS SUNCHIPS GARDEN SALS,FRITO-LAY,64/1.5 OZ
2517,443618,POTATO CHIPS,LSS RUFFLES POTATO CHIPS,FRITO-LAY,64/1.5oz
2519,446001,POTATO CHIPS,SSS BAKED BBQ CHIPS,FRITO-LAY,60/7/8 oz
2521,446019,POTATO CHIPS,SSS BAKED POTATO CHIPS,FRITO-LAY,60/7/8oz
2523,210802,POWDERED GRAVY MIXES,GRAVY MIX CHKN,TRIO,8/22.6oz
2525,231250,POWDERED GRAVY MIXES,BROWN GRAVY INSTANT MIX,PRESCO,12/28 OZ
2527,232404,POWDERED GRAVY MIXES,BEEF GRAVY,SAVORY FRM,24/10.5oz
2529,232407,POWDERED GRAVY MIXES,GRAVY MIX CHICKEN,TUF,8/14Z
2531,480610,POWDERED GRAVY MIXES,CHKN STUFFING MIX,TUF,6/24.5Z
2533,151577,PRETZELS,GOLDFISH PRETZEL 100 CAL,PEP FARM,100/.81Z
2535,441002,PRETZELS,PRETZEL NUGGETS,PACKER,1/8LB
2537,441053,PRETZELS,LSS PRETZEL HONEY WHEAT,FRITO-LAY,64/1.5 OZ
2539,443610,PRETZELS,SSS PRETZEL TINY TWISTS,ROLD GOLD,88/1oz
2541,250616,PRUNE JUICE,PRUNE JUICE (SMALL CANS),SUNPAC,48/5.5oz
2543,254657,PRUNE JUICE,JUICE PRUNE 100% ASEPTIC,PACKER,12/46 OZ
2545,222410,PRUNES (CANNED),COOKED PRUNES RETAIL,SUN SWEET,12/16 OZ.
2547,561225,PRUNES (CANNED),PITTED PRUNES BOX,SUNSWEET,12/18Z
2549,111020,PUDDING (CANS & TRAYS),CHOCOLATE PUDDING ZTF,MUSSELMANS,6/#10
2551,410602,PUDDING (CANS & TRAYS),VANILLA PUDDING,VALUE LINE,6/#10
2553,410607,PUDDING (CANS & TRAYS),LEMON PUDDING,VALUE LINE,6/#10
2555,810345,PUDDING (CANS & TRAYS),BANANA PUDDING CND,VALUE/A.L.,6/#10
2557,810390,PUDDING (CANS & TRAYS),TAPIOCA PUDDING CANS,VALUE/A.L.,6/#10
2559,80602,PUDDING CUPS,VANILLA PUDDING SNACKS,RLFRSH/SIM,48/3.5oz
2561,80607,PUDDING CUPS,SNCK PK FF VANILLA PUDDNG,HUNTS,12/4 PCK
2563,84808,PUDDING CUPS,PUDDING VANILLA,APPLE LEAF,6/#10
2565,413204,PUDDING CUPS,S/F CHOCOLATE PUDDING,HUNTS,48/3.5OZ
2567,414808,PUDDING CUPS,BUTTERSCOTCH PUDDING CUPS,RLFRSH/SIM,48/3.5 OZ
2569,12911,PUDDING DRY MIXES,PUDDING VANILLA MIX,JELLO,24/5.1OZ
2571,80610,PUDDING DRY MIXES,INSTANT CHOC PUDDING,JELLO,24/3.9 OZ
2573,111006,PUDDING DRY MIXES,INSTANT VANILLA PUDDING,JELLO,12/28 OZ
2575,411207,PUDDING DRY MIXES,INSTANT CHOCOLATE PUDDING,JELLO,12/28oz
2577,412412,PUDDING DRY MIXES,PUDDING CHOCOLATE,M T FINE,12/3.12 OZ
2579,37455,PUNCH,FRUIT PUNCH MINI,JUICY JC,36/4oz
2581,111604,PUNCH,JUICY JUICE TROP JUICE,JUICY JC,8/64OZ
2583,125800,PUNCH,HAWAIIN PUNCH (CANS),HAWAIIN,24/12 OZ
2585,252703,PUNCH,HAWAIIAN PUNCH RED,HAWAIIAN,8/64oz
2587,254614,PUNCH,FRUIT PUNCH,SUNPAC,12/46 OZ
2589,481373,PUNCH,SF PUNCH,LEMON-X,1/3GAL
2591,174896,QUAKER CEREAL,CAPTAIN CRUNCH,QUAKER,4/34 OZ
2593,174962,QUAKER CEREAL,OAT BRAN,QUAKER,12/16Z
2595,261201,QUAKER CEREAL,CEREAL UNPROCESSED BRAN,QUAKER,12/8Z
2597,55035,RANCH DRESSING,ORIGINAL RANCH DRESSING,HIDDEN VAL,12/8oz
2599,160424,RANCH DRESSING,DRESSING RANCH LOW FAT,ADMIRATION,4/1GAL
2601,160467,RANCH DRESSING,RANCH DRSSING HIDDEN VALL,HIDDEN VAL,4/1GAL
2603,160778,RANCH DRESSING,BUTTERMILK RANCH DRESSING,KRAFT,4/1GAL
2605,161250,RANCH DRESSING,RANCH DRESSING,PACKER,12/8 OZ
2607,851585,RANCH DRESSING,FAT FREE RANCH DRESSING,KRAFT,12/8 OZ
2609,161010,RANCH PC DRESSING,LITE RANCH DRESSING,KRAFT,60/1.5Z
2611,242402,RASPBERRY JELLY,RASPBERRY PRESERVES 6/4#,STRATFORD,6/4 LB
2613,102452,REGULAR COFFEE,MEDGLIA D'ORO,MEDGLIA D,12/10Z
2615,510009,REGULAR COFFEE,REG. ROAST COFFEE,MAX HOUSE,192/2OZ
2617,510016,REGULAR COFFEE,COFFEE HENRYS,SEATTLE BS,48/7GRM
2619,510019,REGULAR COFFEE,COFFEE SEATTLES BEST,SEATTLE BS,32/6Z
2621,510137,REGULAR COFFEE,COFFEE FOLGERS REGULAR,P&G,150/1.05 OZ
2623,510144,REGULAR COFFEE,COFFEE SINGLES. REGULAR,FOLGERS,12/19CT
2625,510231,REGULAR COFFEE,BULK GROUND COFFEE,MAX HOUSE,6/34.5Z
2627,510432,REGULAR COFFEE,COFFEE ESPRESSO ITALIA,LAVAZZA,12/8Z
2629,511401,REGULAR COFFEE,MASTERBLEND COFFEE,MAX HOUSE,144/1.7oz
2631,512405,REGULAR COFFEE,COFFEE COLOMBIAN CAN,CHOCK FULL,12/11Z
2633,512410,REGULAR COFFEE,"COFFEE, REGULAR (CAN)",PACKER,24/13 OZ
2635,512481,REGULAR COFFEE,COFFEE COLOMBIAN CAN,MAXWELL,12/11Z
2637,541802,REGULAR COFFEE,WHOLE BEAN COFFEE,MAXWELL HS,6/4LB
2639,382003,RELISH,PC RELISH,VARIETY,200/9 GRAM
2641,390415,RELISH,SWEET RELISH,B&G,12/10 OZ
2643,600205,RELISH,RELISH,B&G,12/16 OZ
2645,530672,RETAIL CANNED VEGETABLES,PALMITOS HEARTS OF PALM,GOYA,12/14 OZ
2647,531206,RETAIL CANNED VEGETABLES,LEAF SPINACH RETAIL,ALLEN,24/14 OZ
2649,531219,RETAIL CANNED VEGETABLES,PEAS & CARROTS,DELMONTE,12/8oz
2651,532405,RETAIL CANNED VEGETABLES,MUSHROOMS S & P,PACKER,24/16 OZ
2653,532415,RETAIL CANNED VEGETABLES,SLICED BEETS,ALLEN,24/14.5 OZ
2655,532418,RETAIL CANNED VEGETABLES,PEAS & CARROTS,TNDR SWEET,24/15 OZ
2657,532440,RETAIL CANNED VEGETABLES,CORN CUT NO SALT,TNDR SWEET,24/15.2oz
2659,532442,RETAIL CANNED VEGETABLES,BEANS GREEN CUT NS,TENDER SWE,24/14oz
2661,532445,RETAIL CANNED VEGETABLES,LIMA BEANS CANNED,PKR,24/15 OZ
2663,754859,RETAIL CANNED VEGETABLES,SAUERKRAUT 14 OZ,PARADE,24/14 OZ
2665,983160,RETAIL CANNED VEGETABLES,WHOLE KERNEL CORN,TENDER SWT,24/15 OZ
2667,983255,RETAIL CANNED VEGETABLES,CUT GREEN BEANS,TNDR SWEET,24/14.5 OZ
2669,983608,RETAIL CANNED VEGETABLES,MIXED VEGETABLES CND,TENDER SWT,24/15 OZ
